Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,314.500000,315.000000,313.000000,314.500000,314.500000,29044474
2020-06-19,314.000000,314.500000,312.000000,314.500000,314.500000,48130280
2020-06-22,314.500000,316.500000,312.000000,312.000000,312.000000,37374616
2020-06-23,316.000000,316.500000,312.500000,315.000000,315.000000,41300084
2020-06-24,319.000000,320.000000,316.000000,317.500000,317.500000,54147024
2020-06-29,314.000000,315.000000,310.000000,312.000000,312.000000,56580892
2020-06-30,313.500000,314.000000,311.000000,313.000000,313.000000,48991860
2020-07-01,315.000000,318.000000,314.000000,317.500000,317.500000,29532342
2020-07-02,319.000000,322.000000,318.000000,322.000000,322.000000,34526178
2020-07-03,327.000000,330.500000,326.500000,329.500000,329.500000,53341987
2020-07-06,332.500000,338.000000,332.000000,338.000000,338.000000,57256220
2020-07-07,343.500000,346.000000,338.000000,338.500000,338.500000,59046323
2020-07-08,337.500000,342.500000,337.500000,341.000000,341.000000,30720218
2020-07-09,346.000000,347.000000,343.000000,345.000000,345.000000,35522376
2020-07-10,352.500000,353.000000,345.500000,348.500000,348.500000,60902108
2020-07-13,351.000000,354.500000,350.500000,354.500000,354.500000,48069523
2020-07-14,355.000000,364.000000,354.500000,363.500000,363.500000,61764150
2020-07-15,366.000000,370.000000,361.000000,363.000000,363.000000,73438362
2020-07-16,359.000000,361.000000,353.500000,357.500000,357.500000,68220512
2020-07-17,361.000000,369.000000,360.000000,367.000000,367.000000,65727485
2020-07-20,370.000000,370.000000,362.500000,366.000000,366.000000,42769238
2020-07-21,372.500000,387.000000,371.500000,383.000000,383.000000,64219128
2020-07-22,381.000000,386.000000,379.000000,384.000000,384.000000,43759670
2020-07-23,382.000000,383.000000,379.000000,381.500000,381.500000,45209282
2020-07-24,390.000000,395.000000,382.000000,386.000000,386.000000,86682734
2020-07-27,420.500000,424.500000,416.500000,424.500000,424.500000,99333798
2020-07-28,464.000000,466.500000,428.500000,435.000000,435.000000,166307746
2020-07-29,428.000000,429.000000,419.500000,426.500000,426.500000,57163000
